value,variants
Ambedkar Nagar,Ambedkar Nagar |Ambedkar Nagar |
Akbarpur,Akbarpur |
Katehari,Katehari |
Bhiti,Bhiti |
Ashrafpur Kichhauchha,Ashrafpur Kichhauchha |
Iltifatganj Bazar,Iltifatganj Bazar |
Jalalpur,Jalalpur |
Tanda,Tanda |
Auraiya,Auraiya |Auraiya |
Auraiya,Auraiya |
Achhalda,Achhalda |
Atasu,Atasu |
Babarpur Ajitmal,Babarpur Ajitmal |
Bidhuna,Bidhuna |
Dibiyapur,Dibiyapur |
Phaphund,Phaphund |
Azamgarh,Azamgarh |Azamgarh |
Azamgarh,Azamgarh |
Phulpur,Phulpur |
Lalganj,Lalganj |
Sagri,Sagri |
Mehnagar,Mehnagar |
Atrauliya,Atrauliya |
Azmatgarh,Azmatgarh |
Bilariaganj,Bilariaganj |
Jiyanpur,Jiyanpur |
Katghar Lalganj,Katghar Lalganj |
Mahrajganj,Mahrajganj |
Mahul Khas Or Mahul,Mahul Khas Or Mahul |
Mubarakpur,Mubarakpur |
Nizamabad,Nizamabad |
Sarai Mir,Sarai Mir |
Baghpat,Baghpat |Baghpat |
Baghpat,Baghpat |
Khekra,Khekra |
Pilana,Pilana |
Tatarpur Lallu,Tatarpur Lallu |
Agarwal Mandi,Agarwal Mandi |
Aminagar Sarai,Aminagar Sarai |
Baraut,Baraut |
Chhaprauli,Chhaprauli |
Doghat,Doghat |
Khekada,Khekada |
Tikri,Tikri |
Bahraich,Bahraich |Bahraich |
Bahraich,Bahraich |
Kaiserganj,Kaiserganj |
Bhinga,Bhinga |
Risia,Risia |
Mahasi,Mahasi |
Jarwal,Jarwal |
Nanpara,Nanpara |
Risiya Bazar,Risiya Bazar |
Ballia,Ballia |Ballia |
Ballia,Ballia |
Sikanderpur,Sikanderpur |
Bansdih,Bansdih |
Barriya,Barriya |
Belthara Road,Belthara Road |
Chitbara Gaon,Chitbara Gaon |
Maniyar,Maniyar |
Rasra,Rasra |
Reoti,Reoti |
Sahatwar,Sahatwar |
Balrampur,Balrampur |Balrampur |
Balrampur,Balrampur |
Mehndawal,Mehndawal |
Pachperwa,Pachperwa |
Tulsipur,Tulsipur |
Utraula,Utraula |
Banda,Banda |Banda |
Banda,Banda |
Atarra,Atarra |
Baberu,Baberu |
Bisanda Buzurg,Bisanda Buzurg |
Mataundh,Mataundh |
Naraini,Naraini |
Oran,Oran |
Tindwari,Tindwari |
Barabanki,Barabanki |Barabanki |Bara Banki |
Barabanki,Barabanki |
Haidergarh,Haidergarh |
Nawabganj,Nawabganj |
Dariyabad,Dariyabad |
Banki,Banki |
Belhara,Belhara |
Dewa,Dewa |
Fatehpur,Fatehpur |
Ramnagar,Ramnagar |
Satrikh,Satrikh |
Siddhaur,Siddhaur |
Subeha,Subeha |
Tikait Nagar,Tikait Nagar |
Zaidpur,Zaidpur |
Bareilly,Bareilly |Bareilly |
Bareilly,Bareilly |
Faridpur,Faridpur |
Baheri,Baheri |
Aonla,Aonla |
Bhuta,Bhuta |
Bisharatganj,Bisharatganj |
Deoranian,Deoranian |
Dhaura Tanda,Dhaura Tanda |
Fatehganj Pashchimi,Fatehganj Pashchimi |
Fatehganj Purvi,Fatehganj Purvi |
Mirganj,Mirganj |
Nawabganj,Nawabganj |
Richha,Richha |
Rithora,Rithora |
Sainthal,Sainthal |
Shahi,Shahi |
Shergarh,Shergarh |
Shishgarh,Shishgarh |
Sirauli,Sirauli |
Thiriya Nizamat Khan,Thiriya Nizamat Khan |
Basti,Basti |Basti |
Basti,Basti |
Khalilabad,Khalilabad |
Bankati,Bankati |
Bhabnan Bazar,Bhabnan Bazar |
Harraiya,Harraiya |
Ruthauli Bazar,Ruthauli Bazar |
Bijnor,Bijnor |Bijnor |
Bijnor,Bijnor |
Haldaur,Haldaur |
Najibabad,Najibabad |
Chandpur,Chandpur |
Noorpur,Noorpur |
Afzalgarh,Afzalgarh |
Dhampur,Dhampur |
Jalalabad,Jalalabad |
Jhalu,Jhalu |
Kiratpur,Kiratpur |
Mandawar,Mandawar |
Nagina,Nagina |
Nehtaur,Nehtaur |
Sahanpur,Sahanpur |
Sahaspur,Sahaspur |
Seohara,Seohara |
Sherkot,Sherkot |
Warhapur,Warhapur |
Budaun,Budaun |Budaun |
Budaun,Budaun |
Sahaswan,Sahaswan |
Dataganj,Dataganj |
Shekhupur Sarai,Shekhupur Sarai |
Allapur,Allapur |
Babrala,Babrala |
Bilsi,Bilsi |
Bisauli,Bisauli |
Faizganj,Faizganj |
Gawan,Gawan |
Gulariya,Gulariya |
Gunnaur,Gunnaur |
Islamnagar,Islamnagar |
Kachhla,Kachhla |
Kakrala,Kakrala |
Kunwargaon,Kunwargaon |
Mundiya,Mundiya |
Rudayan,Rudayan |
Saidpur,Saidpur |
Sakhanu,Sakhanu |
Ujhani,Ujhani |
Usawan,Usawan |
Usehat,Usehat |
Wazirganj,Wazirganj |
Bulandshahr,Bulandshahr |Bulandshahr |
Bulandshahr,Bulandshahr |
Shikarpur,Shikarpur |
Debai,Debai |
Anupshahr,Anupshahr |
Aurangabad,Aurangabad |
Bhawan Bahadur Nagar,Bhawan Bahadur Nagar |
Bugrasi,Bugrasi |
Chhatari,Chhatari |
Dibai,Dibai |
Gulaothi,Gulaothi |
Jahangirabad,Jahangirabad |
Kakod,Kakod |
Khanpur,Khanpur |
Khurja,Khurja |
Naraura,Naraura |
Pahasu,Pahasu |
Siana,Siana |
Sikandrabad,Sikandrabad |
Chandauli,Chandauli |Chandauli |
Chandauli,Chandauli |
Chakia,Chakia |
Mughalsarai,Mughalsarai |
Saiyad Raza,Saiyad Raza |
Chitrakoot,Chitrakoot |Chitrakoot |
Chitrakoot,Chitrakoot |
Chitrakoot Dham,Chitrakoot Dham |
Manikpur Sarhat,Manikpur Sarhat |
Rajapur,Rajapur |
Deoria,Deoria |Deoria |
Deoria,Deoria |
Rudrapur,Rudrapur |
Barhaj,Barhaj |
Bariyapur,Bariyapur |
Bhatni Bazar,Bhatni Bazar |
Bhatpar Rani,Bhatpar Rani |
Gaura Barhaj,Gaura Barhaj |
Gauri Bazar,Gauri Bazar |
Lar,Lar |
Majhauliraj,Majhauliraj |
Rampur Karkhana,Rampur Karkhana |
Salempur,Salempur |
Etah,Etah |Etah |
Etah,Etah |
Patiyali,Patiyali |
Aliganj,Aliganj |
Awagarh,Awagarh |
Jaithara,Jaithara |
Jalesar,Jalesar |
Marehra,Marehra |
Nidhauli Kalan,Nidhauli Kalan |
Raja Ka Rampur,Raja Ka Rampur |
Sakit,Sakit |
Etawah,Etawah |Etawah |
Etawah,Etawah |
Bakewar,Bakewar |
Bharthana,Bharthana |
Ekdil,Ekdil |
Jaswantnagar,Jaswantnagar |
Lakhna,Lakhna |
Faizabad,Faizabad |Ayodhya |
Faizabad,Faizabad |
Milkipur,Milkipur |
Ayodhya,Ayodhya |
Bhadarsa,Bhadarsa |
Bikapur,Bikapur |
Gosainganj,Gosainganj |
Rudauli,Rudauli |
Farrukhabad,Farrukhabad |Farrukhabad |
Farrukhabad,Farrukhabad |
Bewar,Bewar |
Kaimganj,Kaimganj |
Kamalganj,Kamalganj |
Kampil,Kampil |
Mohammadabad,Mohammadabad |
Shamsabad,Shamsabad |
Fatehpur,Fatehpur |Fatehpur |
Fatehpur,Fatehpur |
Bahuwa,Bahuwa |
Bindki,Bindki |
Gauriganj,Gauriganj |
Hathgram,Hathgram |
Khaga,Khaga |
Kishunpur,Kishunpur |
Kora Jahanabad,Kora Jahanabad |
Firozabad,Firozabad |Firozabad |
Firozabad,Firozabad |
Sirsaganj,Sirsaganj |
Eka,Eka |
Fariha,Fariha |
Jasrana,Jasrana |
Shikohabad,Shikohabad |
Tundla,Tundla |
Gautam Buddha Nagar,Gautam Buddha Nagar |Noida |
Noida,Noida |
Jewar,Jewar |
Bilaspur,Bilaspur |
Dadri,Dadri |
Dankaur,Dankaur |
Jahangirpur,Jahangirpur |
Rabupura,Rabupura |
Ghaziabad,Ghaziabad |Ghaziabad |
Ghaziabad,Ghaziabad |
Muradnagar,Muradnagar |
Garhmukteshwar,Garhmukteshwar |
Dasna,Dasna |
Loni,Loni |
Babugarh,Babugarh |
Faridnagar,Faridnagar |
Garhmukhteshwar,Garhmukhteshwar |
Hapur,Hapur |
Khora,Khora |
Modinagar,Modinagar |
Niwari,Niwari |
Patala,Patala |
Pilkhuwa,Pilkhuwa |
Ghazipur,Ghazipur |Ghazipur |
Ghazipur,Ghazipur |
Jakhanian,Jakhanian |
Bahadurganj,Bahadurganj |
Dildarnagar Fatehpur Bazar,Dildarnagar Fatehpur Bazar |
Jangipur,Jangipur |
Mohammadabad,Mohammadabad |
Sadat,Sadat |
Saidpur,Saidpur |
Zamania,Zamania |
Gonda,Gonda |Gonda |
Gonda,Gonda |
Colonelganj,Colonelganj |
Katra,Katra |
Khargupur,Khargupur |
Mankapur,Mankapur |
Nawabganj,Nawabganj |
Paraspur,Paraspur |
Gorakhpur,Gorakhpur |Gorakhpur |
Gorakhpur,Gorakhpur |
Bansgaon,Bansgaon |
Khajani,Khajani |
Gola,Gola |
Chargawan,Chargawan |
Campierganj,Campierganj |
Barhalganj,Barhalganj |
Gola Bazar,Gola Bazar |
Mundera Bazar,Mundera Bazar |
Pipiganj,Pipiganj |
Pipraich,Pipraich |
Sahjanwan,Sahjanwan |
Sangrampur,Sangrampur |
Hamirpur,Hamirpur |Hamirpur |
Hamirpur,Hamirpur |
Gohand,Gohand |
Kurara,Kurara |
Maudaha,Maudaha |
Raniganj,Raniganj |
Rath,Rath |
Sarila,Sarila |
Sumerpur,Sumerpur |
Hardoi,Hardoi |Hardoi |
Hardoi,Hardoi |
Sandi,Sandi |
Sawayajpur,Sawayajpur |
Kachhauna Patseni,Kachhauna Patseni |
Beniganj,Beniganj |
Bilgram,Bilgram |
Gopamau,Gopamau |
Kursath,Kursath |
Madhoganj,Madhoganj |
Mallawan,Mallawan |
Pali,Pali |
Pihani,Pihani |
Sandila,Sandila |
Shahabad,Shahabad |
Jalaun,Jalaun |Jalaun |
Jalaun,Jalaun |
Madhogarh,Madhogarh |
Kadaura,Kadaura |
Kalpi,Kalpi |
Konch,Konch |
Kotra,Kotra |
Nadigaon,Nadigaon |
Orai,Orai |
Rampura,Rampura |
Umri,Umri |
Jaunpur,Jaunpur |Jaunpur |
Jaunpur,Jaunpur |
Badlapur,Badlapur |
Jafarabad,Jafarabad |
Kerakat,Kerakat |
Khetasarai,Khetasarai |
Machhlishahr,Machhlishahr |
Mariahu,Mariahu |
Mogra Badshahpur,Mogra Badshahpur |
Shahganj,Shahganj |
Jhansi,Jhansi |Jhansi |
Jhansi,Jhansi |
Moth,Moth |
Baragaon,Baragaon |
Barua Sagar,Barua Sagar |
Chirgaon,Chirgaon |
Erich,Erich |
Garautha,Garautha |
Gursarai,Gursarai |
Kathera,Kathera |
Mauranipur,Mauranipur |
Ranipur,Ranipur |
Samthar,Samthar |
Tondi Fatehpur,Tondi Fatehpur |
Amroha,Amroha |Amroha |
Amroha,Amroha |
Naugawan Sadat,Naugawan Sadat |
Gajraula,Gajraula |
Bachhraon,Bachhraon |
Dhanaura,Dhanaura |
Hasanpur,Hasanpur |
Joya,Joya |
Ujhari,Ujhari |
Kannauj,Kannauj |Kannauj |
Kannauj,Kannauj |
Chhibramau,Chhibramau |
Gursahaiganj,Gursahaiganj |
Samdhan,Samdhan |
Saurikh,Saurikh |
Sikanderpur,Sikanderpur |
Talgram,Talgram |
Tirwaganj,Tirwaganj |
Kanpur Dehat,Kanpur Dehat |Kanpur Dehat |
Akbarpur,Akbarpur |
Bhognipur,Bhognipur |
Derapur,Derapur |
Amraudha,Amraudha |
Jhinjhak,Jhinjhak |
Pukhrayan,Pukhrayan |
Rasulabad,Rasulabad |
Rura,Rura |
Shivli,Shivli |
Sikandra,Sikandra |
Kanpur Nagar,Kanpur Nagar |Kanpur Nagar |
Kanpur,Kanpur |
Bilhaur,Bilhaur |
Bithoor,Bithoor |
Ghatampur,Ghatampur |
Shivrajpur,Shivrajpur |
Kaushambi,Kaushambi |Kaushambi |
Manjhanpur,Manjhanpur |
Ajhuwa,Ajhuwa |
Bharwari,Bharwari |
Chail,Chail |
Karari,Karari |
Sarai Aquil,Sarai Aquil |
Sirathu,Sirathu |
Kheri,Kheri |Kheri |
Lakhimpur,Lakhimpur |
Dhaurahara,Dhaurahara |
Palia Kalan,Palia Kalan |
Nighasan,Nighasan |
Kushi Nagar,Kushi Nagar |Kushi Nagar |Kushinagar |
Padrauna,Padrauna |
Kaptanganj,Kaptanganj |
Hata,Hata |
Khadda,Khadda |
Kushinagar,Kushinagar |
Ramkola,Ramkola |
Sewarhi,Sewarhi |
Lalitpur,Lalitpur |Lalitpur |
Lalitpur,Lalitpur |
Mahroni,Mahroni |
Pali,Pali |
Talbehat,Talbehat |
Lucknow,Lucknow |Lucknow |
Lucknow,Lucknow |
Mohanlalganj,Mohanlalganj |
Gosainganj,Gosainganj |
Amethi,Amethi |
Bakshi Ka Talab,Bakshi Ka Talab |
Itaunja,Itaunja |
Kakori,Kakori |
Mahona,Mahona |
Malihabad,Malihabad |
Nagram,Nagram |
Hathras,Hathras |Hathras |Mahamaya Nagar |
Hathras,Hathras |
Sasni,Sasni |
Hasayan,Hasayan |
Mendu,Mendu |
Mursan,Mursan |
Purdilnagar,Purdilnagar |
Sadabad,Sadabad |
Sahpau,Sahpau |
Sikandrarao,Sikandrarao |
Maharajganj,Maharajganj |Maharajganj |
Maharajganj,Maharajganj |
Anandnagar,Anandnagar |
Ghughuli,Ghughuli |
Nautanwa,Nautanwa |
Nichlaul,Nichlaul |
Siswa Bazar,Siswa Bazar |
Sonauli,Sonauli |
Mahoba,Mahoba |Mahoba |
Mahoba,Mahoba |
Charkhari,Charkhari |
Kabrai,Kabrai |
Kharela,Kharela |
Kul Pahar,Kul Pahar |
Mainpuri,Mainpuri |Mainpuri |
Mainpuri,Mainpuri |
Kishni,Kishni |
Bewar,Bewar |
Bhogaon,Bhogaon |
Ghiraur,Ghiraur |
Jyoti Khuriya,Jyoti Khuriya |
Karhal,Karhal |
Kuraoali,Kuraoali |
Kusmara,Kusmara |
Mathura,Mathura |Mathura |
Mathura,Mathura |
Mant,Mant |
Nandgaon,Nandgaon |
Bajna,Bajna |
Baldeo,Baldeo |
Barsana,Barsana |
Chaumuhan,Chaumuhan |
Chhata,Chhata |
Farah,Farah |
Gokul,Gokul |
Govardhan,Govardhan |
Kosi Kalan,Kosi Kalan |
Mahaban,Mahaban |
Radhakund,Radhakund |
Raya,Raya |
Saunkh,Saunkh |
Mau,Mau |Mau |
Mau,Mau |
Adari,Adari |
Amila,Amila |
Chiraiyakot,Chiraiyakot |
Dohrighat,Dohrighat |
Ghosi,Ghosi |
Kopaganj,Kopaganj |
Madhuban,Madhuban |
Maunath Bhanjan,Maunath Bhanjan |
Muhammadabad,Muhammadabad |
Walidpur,Walidpur |
Meerut,Meerut |Meerut |
Meerut,Meerut |
Hastinapur,Hastinapur |
Kithore,Kithore |
Parikshitgarh,Parikshitgarh |
Bahsuma,Bahsuma |
Daurala,Daurala |
Karnawal,Karnawal |
Kharkhoda,Kharkhoda |
Khiwai,Khiwai |
Kithaur,Kithaur |
Lawar,Lawar |
Mawana,Mawana |
Phalauda,Phalauda |
Sardhana,Sardhana |
Sewalkhas,Sewalkhas |
Shahjahanpur,Shahjahanpur |
Mirzapur,Mirzapur |Mirzapur |
Mirzapur,Mirzapur |
Ahraura,Ahraura |
Chunar,Chunar |
Kachhwa,Kachhwa |
Moradabad,Moradabad |Moradabad |
Moradabad,Moradabad |
Kundarki,Kundarki |
Bilari,Bilari |
Aghwanpur,Aghwanpur |
Bahjoi,Bahjoi |
Bhojpur Dharampur,Bhojpur Dharampur |
Chandausi,Chandausi |
Dhakiya,Dhakiya |
Kanth,Kanth |
Narauli,Narauli |
Pakbara,Pakbara |
Sambhal,Sambhal |
Sirsi,Sirsi |
Thakurdwara,Thakurdwara |
Umri Kalan,Umri Kalan |
Muzaffarnagar,Muzaffarnagar |Muzaffarnagar |Muzzaffarnagar |
Muzaffarnagar,Muzaffarnagar |
Purquazi,Purquazi |
Ailam,Ailam |
Banat,Banat |
Bhokarhedi,Bhokarhedi |
Budhana,Budhana |
Charthawal,Charthawal |
Garhi Pukhta,Garhi Pukhta |
Jalalabad,Jalalabad |
Jansath,Jansath |
Jhinjhana,Jhinjhana |
Kairana,Kairana |
Kandhla,Kandhla |
Khatauli,Khatauli |
Miranpur,Miranpur |
Shahpur,Shahpur |
Shamli,Shamli |
Sisauli,Sisauli |
Thana Bhawan,Thana Bhawan |
Un,Un |
Pilibhit,Pilibhit |Pilibhit |
Pilibhit,Pilibhit |
Barkhera,Barkhera |
Bilsanda,Bilsanda |
Bisalpur,Bisalpur |
Gulariya Bhindara,Gulariya Bhindara |
Jahanabad,Jahanabad |
Kalinagar,Kalinagar |
Nyoria Husainpur,Nyoria Husainpur |
Puranpur,Puranpur |
Pratapgarh,Pratapgarh |Pratapgarh |
Pratapgarh,Pratapgarh |
Antu,Antu |
Bela Pratapgarh,Bela Pratapgarh |
Katra Medniganj,Katra Medniganj |
Kunda,Kunda |
Lalganj,Lalganj |
Manikpur,Manikpur |
Patti,Patti |
Pratapgarh City,Pratapgarh City |
Rae Bareli,Rae Bareli |Rae Bareli |
Rae Bareli,Rae Bareli |
Dalmau,Dalmau |
Bachhrawan,Bachhrawan |
Jais,Jais |
Lalganj,Lalganj |
Maharajganj,Maharajganj |
Nasirabad,Nasirabad |
Parsadepur,Parsadepur |
Salon,Salon |
Unchahar,Unchahar |
Rampur,Rampur |Rampur |
Rampur,Rampur |
Milak,Milak |
Kemri,Kemri |
Shahabad,Shahabad |
Bilaspur,Bilaspur |
Maswasi,Maswasi |
Suar,Suar |
Tanda,Tanda |
Saharanpur,Saharanpur |Saharanpur |
Saharanpur,Saharanpur |
Deoband,Deoband |
Rampur Maniharan,Rampur Maniharan |
Ambehta,Ambehta |
Behat,Behat |
Chilkana Sultanpur,Chilkana Sultanpur |
Gangoh,Gangoh |
Nakur,Nakur |
Nanauta,Nanauta |
Sarsawa,Sarsawa |
Titron,Titron |
Sant Kabeer Nagar,Sant Kabeer Nagar |Sant Kabeer Nagar |Sant Kabir Nagar |
Khalilabad,Khalilabad |
Hariharpur,Hariharpur |
Maghar,Maghar |
Mehdawal,Mehdawal |
Bhadohi,Bhadohi |Bhadohi |
Gyanpur,Gyanpur |
Bhadohi,Bhadohi |
Ghosia Bazar,Ghosia Bazar |
Gopiganj,Gopiganj |
Khamaria,Khamaria |
Nai Bazar,Nai Bazar |
Suriyawan,Suriyawan |
Shahjahanpur,Shahjahanpur |Shahjahanpur |
Shahjahanpur,Shahjahanpur |
Powayan,Powayan |
Allahganj,Allahganj |
Jalalabad,Jalalabad |
Kanth,Kanth |
Katra,Katra |
Khudaganj,Khudaganj |
Khutar,Khutar |
Railway Settlement Roza,Railway Settlement Roza |
Tilhar,Tilhar |
Shravasti,Shravasti |Shravasti |Shrawasti |
Shravasti,Shravasti |
Bhinga,Bhinga |
Ikauna,Ikauna |
Siddharth Nagar,Siddharth Nagar |Siddharth Nagar |Siddharthnagar |
Naugarh,Naugarh |
Bansi,Bansi |
Barhani Bazar,Barhani Bazar |
Domariyaganj,Domariyaganj |
Shohratgarh,Shohratgarh |
Siddharthnagar,Siddharthnagar |
Uska Bazar,Uska Bazar |
Sitapur,Sitapur |Sitapur |
Sitapur,Sitapur |
Mahmudabad,Mahmudabad |
Sidhauli,Sidhauli |
Biswan,Biswan |
Hargaon,Hargaon |
Khairabad,Khairabad |
Laharpur,Laharpur |
Maholi,Maholi |
Paintepur,Paintepur |
Sonbhadra,Sonbhadra |Sonbhadra |
Robertsganj,Robertsganj |
Obra,Obra |
Anpara,Anpara |
Chopan,Chopan |
Churk Ghurma,Churk Ghurma |
Dudhi,Dudhi |
Ghorawal,Ghorawal |
Harra,Harra |
Pipri,Pipri |
Renukoot,Renukoot |
Sultanpur,Sultanpur |Sultanpur |
Sultanpur,Sultanpur |
Musafirkhana,Musafirkhana |
Amethi,Amethi |
Dostpur,Dostpur |
Kadipur,Kadipur |
Koeripur,Koeripur |
Unnao,Unnao |Unnao |
Unnao,Unnao |
Purwa,Purwa |
Bangarmau,Bangarmau |
Auras,Auras |
Bhagwant Nagar,Bhagwant Nagar |
Bighapur,Bighapur |
Fatehpur Chaurasi,Fatehpur Chaurasi |
Gangaghat,Gangaghat |
Ganj Muradabad,Ganj Muradabad |
Hyderabad,Hyderabad |
Kursath,Kursath |
Maurawan,Maurawan |
Mohan,Mohan |
Nawabganj,Nawabganj |
Nyotini,Nyotini |
Rasulabad,Rasulabad |
Safipur,Safipur |
Ugu,Ugu |
Varanasi,Varanasi |Varanasi |
Varanasi,Varanasi |
Mirzapur,Mirzapur |
Sarnath,Sarnath |
Gangapur,Gangapur |
Ramnagar,Ramnagar |
Kasganj,Kasganj |Kasganj |Kanshiram Nagar |
Kasganj,Kasganj |
Amanpur,Amanpur |
Bhargain,Bhargain |
Bilram,Bilram |
Ganj Dundawara,Ganj Dundawara |
Mohanpur,Mohanpur |
Patiyali,Patiyali |
Sahawar,Sahawar |
Sidhpura,Sidhpura |
Soron,Soron |
Amethi,Amethi |Amethi |
Amethi,Amethi |
Sambhal,Sambhal |Sambhal |
Sambhal,Sambhal |
Shamli,Shamli |Shamli |
Shamli,Shamli |
Hapur,Hapur |Hapur |
Hapur,Hapur |
Bihar,Bihar |Magadha |
Araria,Araria |Araria |
Araria,Araria |
Bhargama,Bhargama |
Forbesganj,Forbesganj |
Jogabani,Jogabani |
Aurangabad,Aurangabad |Aurangabad |
Aurangabad,Aurangabad |
Rafiganj,Rafiganj |
Daudnagar,Daudnagar |
Nabinagar,Nabinagar |
Banka,Banka |Banka |
Banka,Banka |
Amarpur,Amarpur |
Begusarai,Begusarai |Begusarai |
Begusarai,Begusarai |
Bakhri,Bakhri |
Balia,Balia |
Bihat,Bihat |
Teghra,Teghra |
Bhagalpur,Bhagalpur |Bhagalpur |
Bhagalpur,Bhagalpur |
Kahalgaon,Kahalgaon |
Naugachhia,Naugachhia |
Sultanganj,Sultanganj |
Bhojpur,Bhojpur |Bhojpur |
Arrah,Arrah |
Behea,Behea |
Jagdishpur,Jagdishpur |
Koilwar,Koilwar |
Piro,Piro |
Shahpur,Shahpur |
Buxar,Buxar |Buxar |
Buxar,Buxar |
Dumraon,Dumraon |
Darbhanga,Darbhanga |Darbhanga |
Darbhanga,Darbhanga |
Benipur,Benipur |
Gaya,Gaya |Gaya |
Gaya,Gaya |
Bodh Gaya,Bodh Gaya |
Sherghati,Sherghati |
Tikari,Tikari |
Gopalganj,Gopalganj |Gopalganj |
Gopalganj,Gopalganj |
Barauli,Barauli |
Kataiya,Kataiya |
Mirganj,Mirganj |
Jamui,Jamui |Jamui |
Jamui,Jamui |
Jhajha,Jhajha |
Jehanabad,Jehanabad |Jehanabad |
Jehanabad,Jehanabad |
Makhdumpur,Makhdumpur |
Kaimur,Kaimur |Bhabua |
Bhabua,Bhabua |
Mohania,Mohania |
Katihar,Katihar |Katihar |
Katihar,Katihar |
Manihari,Manihari |
Khagaria,Khagaria |Khagaria |
Khagaria,Khagaria |
Gogri Jamalpur,Gogri Jamalpur |
Kishanganj,Kishanganj |Kishanganj |
Kishanganj,Kishanganj |
Bahadurganj,Bahadurganj |
Thakurganj,Thakurganj |
Lakhisarai,Lakhisarai |Lakhisarai |
Lakhisarai,Lakhisarai |
Barahiya,Barahiya |
Madhepura,Madhepura |Madhepura |
Madhepura,Madhepura |
Murliganj,Murliganj |
Madhubani,Madhubani |Madhubani |
Madhubani,Madhubani |
Ghoghardiha,Ghoghardiha |
Jainagar,Jainagar |
Jhanjharpur,Jhanjharpur |
Munger,Munger |Munger |
Munger,Munger |
Jamalpur,Jamalpur |
Kharagpur,Kharagpur |
Muzaffarpur,Muzaffarpur |Muzaffarpur |
Muzaffarpur,Muzaffarpur |
Kanti,Kanti |
Motipur,Motipur |
Sahebganj,Sahebganj |
Nalanda,Nalanda |Nalanda |
Bihar Sharif,Bihar Sharif |
Biharsharif,Biharsharif |
Hilsa,Hilsa |
Islampur,Islampur |
Rajgir,Rajgir |
Silao,Silao |
Nawada,Nawada |Nawada |
Nawada,Nawada |
Hisua,Hisua |
Warisaliganj,Warisaliganj |
Pashchim Champaran,Pashchim Champaran |Pashchim Champaran |
Bettiah,Bettiah |
Bagaha,Bagaha |
Chanpatia,Chanpatia |
Narkatiaganj,Narkatiaganj |
Ramnagar,Ramnagar |
Patna,Patna |Patna |
Patna,Patna |
Bakhtiarpur,Bakhtiarpur |
Barh,Barh |
Bikram,Bikram |
Dinapur Nizamat,Dinapur Nizamat |
Fatwah,Fatwah |
Khagaul,Khagaul |
Khusrupur,Khusrupur |
Maner,Maner |
Masaurhi,Masaurhi |
Mokameh,Mokameh |
Naubatpur,Naubatpur |
Phulwari Sharif,Phulwari Sharif |
Purbi Champaran,Purbi Champaran |Purbi Champaran |Purba Champaran |
Motihari,Motihari |
Areraj,Areraj |
Chakia,Chakia |
Dhaka,Dhaka |
Kesaria,Kesaria |
Mehsi,Mehsi |
Pakri Dayal,Pakri Dayal |
Raxaul Bazar,Raxaul Bazar |
Sugauli,Sugauli |
Purnia,Purnia |Purnia |
Purnia,Purnia |
Banmankhi Bazar,Banmankhi Bazar |
Kasba,Kasba |
Rohtas,Rohtas |Rohtas |
Sasaram,Sasaram |
Bikramganj,Bikramganj |
Dehri,Dehri |
Koath,Koath |
Kochas,Kochas |
Nasriganj,Nasriganj |
Nokha,Nokha |
Saharsa,Saharsa |Saharsa |
Saharsa,Saharsa |
Simri Bakhtiyarpur,Simri Bakhtiyarpur |
Samastipur,Samastipur |Samastipur |
Samastipur,Samastipur |
Dalsinghsarai,Dalsinghsarai |
Rosera,Rosera |
Saran,Saran |Saran |
Chhapra,Chhapra |
Chapra,Chapra |
Dighwara,Dighwara |
Ekma Bazar,Ekma Bazar |
Marhaura,Marhaura |
Parsa Bazar,Parsa Bazar |
Revelganj,Revelganj |
Sonepur,Sonepur |
Sheikhpura,Sheikhpura |Sheikhpura |
Sheikhpura,Sheikhpura |
Barbigha,Barbigha |
Sheohar,Sheohar |Sheohar |
Sheohar,Sheohar |
Sitamarhi,Sitamarhi |Sitamarhi |
Sitamarhi,Sitamarhi |
Bairgania,Bairgania |
Belsand,Belsand |
Dumra,Dumra |
Janakpur Road,Janakpur Road |
Siwan,Siwan |Siwan |
Siwan,Siwan |
Maharajganj,Maharajganj |
Mairwa,Mairwa |
Supaul,Supaul |Supaul |
Supaul,Supaul |
Birpur,Birpur |
Nirmali,Nirmali |
Vaishali,Vaishali |Vaishali |
Hajipur,Hajipur |
Lalganj,Lalganj |
Mahnar Bazar,Mahnar Bazar |
Mahua,Mahua |
Arwal,Arwal |Arwal |
Arwal,Arwal |
Sikkim,Sikkim |Indrakil |
East District,East District |Gangtok |
Gangtok,Gangtok |
Rangpo,Rangpo |
Singtam,Singtam |
North District,North District |Mangan |
Mangan,Mangan |
South District,South District |Namchi |
Namchi,Namchi |
Jorethang,Jorethang |
West District,West District |Gyalshing |
Gyalshing,Gyalshing |
Nayabazar Notified Bazar Area,Nayabazar Notified Bazar Area |
Arunachal Pradesh,Arunachal Pradesh |
Changlang,Changlang |Changlang |
Changlang,Changlang |
Bordumsa,Bordumsa |
Jairampur,Jairampur |
Miao,Miao |
Dibang Valley,Dibang Valley |Anini |
Anini,Anini |
East Kameng,East Kameng |Seppa |
Seppa,Seppa |
East Siang,East Siang |Pasighat |
Pasighat,Pasighat |
Boleng,Boleng |
Pangin,Pangin |
Kurung Kumey,Kurung Kumey |Koloriang |
Koloriang,Koloriang |
Palin,Palin |
